msd_id,category
TRLQFSL12903CD6B33,jazz
TRCATET128F428A8E5,jazz
TRNCWMP12903CDFADC,jazz
TRFNTAU128F9336ADF,jazz
TRHASWP128E078E8D6,jazz
TRVDPRR128F4287AB1,jazz
TRNVZBQ128F42BCBF1,jazz
TRBCMYX128F92EB4BA,jazz
TRTIFYY128F1469681,jazz
TRATUVC128F42AD02E,jazz
TRMTNWE128F933CFD6,jazz
TROCEJT128F4267BB0,jazz
TRAYTWB128F4234C1F,jazz
TRQQDFY128F92F7C6A,jazz
TRMRCOW128F4292B52,jazz
TREGYON128F4279272,jazz
TRJPNUT128F42AA76B,jazz
TRNWSQU128E078C571,jazz
TRUHGMX128F9356EAB,jazz
TRIJSDT128F147CC1F,jazz
TRZSJOT128F92FBDD9,jazz
TRWVEWE128F4267A96,jazz
TRLLIBF12903CE4F36,jazz
TRBGPJP128E078ED20,jazz
TRAOLZA12903D03B42,jazz
TRHUGLC128F425A5DE,jazz
TRIQYCH12903CCD875,jazz
TRPMVAX128F14566D1,jazz
TRDASPF128F92F7B3C,jazz
TRZTWRI128F931B581,jazz
TRPKDVB128F149EC39,jazz
TRQLVGZ128F92FD650,jazz
TRBFJAW128F428490D,jazz
TRXIOUQ128F4269099,jazz
TRFFQFB128F9329F6D,jazz
TRNFSBY128F428F07B,jazz
TROHFII128F428D604,jazz
TRVSVLE128E07886A9,jazz
TRDOBIW128F4273A73,jazz
TRHHLRD128F92EE5D0,jazz
TRCDPRP128F42724C0,jazz
TRFDPCR128F422B88F,jazz
TRAOQNR12903CBA8E2,jazz
TRZPAJN128F426C2AF,jazz
TRILYEJ128F4259E6E,jazz
TRHJQDW128F9343FCA,jazz
TRHSYNT128F4271779,jazz
TRJZFOI128F92D4E89,jazz
TRLSUPQ128F4224B7F,jazz
TRJNXAH128F92E2FB6,jazz
TRXMADV128F42AD434,jazz
TRWNTBN128F42727D7,jazz
TRXMRZI128F429EE1B,jazz
TRAYWEU128F427567F,jazz
TRHOGMB128F1481949,jazz
TRCSEEK12903CA06A5,jazz
TRQFGKR128F9314256,jazz
TRLHTOJ128EF33DF78,jazz
TRKNAOJ128F9338CA4,jazz
TRHGODO128F426BF48,jazz
TRJINWI128F427DDF0,jazz
TRHLCEG128F14A518D,jazz
TRRWCAO128F92F9529,jazz
TRZHIJP128E079012F,jazz
TRJBHVL128F1460F3E,jazz
TRWDRZE128F92E583D,jazz
TRXFUCT128F9333E6C,jazz
TRMUFVB12903CBB4CF,jazz
TRVLQVH128F427DDFB,jazz
TRHASKD128F92F8C87,jazz
TRTPPUE128F9312590,jazz
TRMTACE12903CA6A58,jazz
TRANPRT12903CC5D0F,jazz
TRUWYSS12903CBB562,jazz
TRZCALU128F427D4E4,jazz
TRXHYWW128F9353080,jazz
TRMILMI12903CEC756,jazz
TRFLBNN128E078ED1B,jazz
TRDVXAV128F4285F4E,jazz
TRTNWXT128F42289DD,jazz
TRVQHPT128F4288591,jazz
TREOVEA128C71963F5,jazz
TRYPSTX128F428902A,jazz
TRUJSRE12903CA6F62,jazz
TRMLCIX12903CDBF8B,jazz
TRYIMQC128F1497CEA,jazz
TRGUWCL128F424FFD4,jazz
TRNRDFJ128F9356D38,jazz
TRFXQTQ128E078F2FA,jazz
TRRBKLR128F92D13D8,jazz
TRRSUWZ128F426359C,jazz
TRAQPKV128E078EE32,jazz
TRHUSFX128E07858DD,jazz
TRRHODO12903CB5D17,jazz
TRBTWXE128F933EF94,jazz
TRLBPQS12903CD36C4,jazz
TRDFFQQ12903D08016,jazz
TRVXYJG128F14A4388,jazz
TRUGZDN128F932AD78,jazz
TRUWSCV128E0782179,jazz
TRXXLWN128F42936BB,jazz
TRZLDWA128F4288D19,jazz
TROMEPT12903CE2637,jazz
TRGWHNY12903CF5E59,jazz
TRNYRHA128F423AC7D,jazz
TRGCJKP128F4280D03,jazz
TRPKYHF128F4285133,jazz
TRRJMKH128F4250F30,jazz
TRVOQJY128F42989CA,jazz
TRSQMQP128F4272E4E,jazz
TRSNPIB128F42BC938,jazz
TRGWIBQ128F426494C,jazz
TRKNQHN128F933E6E5,jazz
TRUYAVF128F42724B6,jazz
TRWABEJ128F92F4271,jazz
TRCMAED12903CE0094,jazz
TRQSUVK128F149EE4C,jazz
TRPSETD128F428CD89,jazz
TRFRHVH128F93041FA,jazz
TRBJZUL128F93395AD,jazz
TRJEOUO128F426A2FF,jazz
TRPZZOD128F4279440,jazz
TRJIIKW128E078FD90,jazz
TRKWAOQ128F423CCF6,jazz
TRDVIAB128E0796B5C,jazz
TRYOCHH128F931DCD8,jazz
TRBHWLV128F429F3F0,jazz
TRIDBQF128F42522D0,jazz
TRTXUFZ128F4295F36,jazz
TRRTYIK128F4252A78,jazz
TRASYWP128F42661E1,jazz
TRXBQHN128F14772A6,jazz
TRIFUGW128F4282380,jazz
TRVWHYI128F429FC17,jazz
TRBVWRH128F1477A41,jazz
TRFSUOY128F4271FED,jazz
TREYTKR128F146548A,jazz
TRLDNGL128F1473285,jazz
TRFEEPZ128E07831FA,jazz
TRVMICB128F42645CD,jazz
TRPBEKA128F428C1C2,jazz
TRUDTTH12903CE837A,jazz
TRGHNJM128F146930E,jazz
TRNPWAR128F428AD71,jazz
TRHCIGW128F92FDED6,jazz
TRSYJWO128F92D6F47,jazz
TRLODJW128F4286B71,jazz
TRNHARF128F92FCA35,jazz
TRELZLR128F42956C5,jazz
TRKOPIZ128F14930EC,jazz
TRSDGGD128F428A298,jazz
TRUFFUK128F1469C8B,jazz
TRTAQUM128F148BF8B,jazz
TRKPAMR128F428B8E5,jazz
TRDKXXM128E0799AE7,jazz
TRQUUMK128F9303B09,jazz
TRYVDGE128F931E625,jazz
TRRZJNQ128F14A9F59,jazz
TRFYBHO12903C9D599,jazz
TRTVUCM128F42ACE7E,jazz
TRLZOXP128F429E857,jazz
TRBZFMI12903CB89A6,jazz
TRHQHIJ128F423C184,jazz
TRAJFBN128F930527C,jazz
TRZQMCS128F9315465,jazz
TRZPBNJ12903CD0390,jazz
TRIIPKC128F4286D41,jazz
TRCIWKL128F14A230E,jazz
TRTJFML128F149E9EA,jazz
TRBNJFE128F9342833,jazz
TRXMTTT128F145279A,jazz
TRUGYWL12903CA26DC,jazz
TRAEJCN128F4294220,jazz
TRPNQWQ128E0789A3F,jazz
TRMRHAD12903CC0130,jazz
TRRYZLB128F930CE72,jazz
TRYSSFP128F4293AC3,jazz
TRQAWKR128F425EEC3,jazz
TRRJDIA12903CE8A14,jazz
TRYTCRE128F4290D54,jazz
TRCYCZF12903CECBB1,jazz
TRTSRTJ128F4297FFB,jazz
TRXCJDR128F92D1680,jazz
TRLIMLG128F4285EF9,jazz
TRUTJCI128F92F1B50,jazz
TRLABJZ128F42A0DD7,jazz
TRZFVBL128E078C7E8,jazz
TRGSBXU128F425A527,jazz
TRPWEWO128F424F0D2,jazz
TRVUQEE12903CC8177,jazz
TRRUHOZ128F92EC575,jazz
TRZSKZF128E078F2D1,jazz
TRCRHVK128F4297D3B,jazz
TRYHSNT128F426A56C,jazz
TRAIAQW128F422E97D,jazz
TRBMEBF128F4286CBA,jazz
TRTPGLA128F9314F30,jazz
TRSYGGQ128F92E9ED1,jazz
TRZQMJM12903CC5FAF,jazz
TRTDDDH128F422EF09,jazz
TRIHQMX12903CA596F,jazz
